  
       XFOIL         Version 6.99
  
 Calculated polar for: PARSEC_foil 0.015 0.3025 0.07 -0.5 0.3025 -0.07 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.250 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   1.000   0.1010   0.01128   0.00378   0.0048   0.7664   0.8366  17.0575  87.7577
   2.000   0.2037   0.01106   0.00336   0.0085   0.7036   0.8649  19.3216  89.0182
   3.000   0.2998   0.01118   0.00288   0.0136   0.5915   0.8895  23.0715  90.2205
   4.000   0.3902   0.01197   0.00273   0.0186   0.4718   0.9192  26.8993  91.8346
   5.000   0.4886   0.01255   0.00263   0.0210   0.3905   0.9418  29.5164  93.2550
   6.000   0.5963   0.01330   0.00254   0.0207   0.3176   0.9623  31.9427  94.7910
   7.000   0.7229   0.01425   0.00267   0.0160   0.2402   0.9780  34.6985  96.2863
   8.000   0.8557   0.01640   0.00337   0.0085   0.1271   0.9924  39.4024  98.2655
   9.000   0.9148   0.01933   0.00482   0.0138   0.0720   1.0000  42.3642 101.0000
  10.000   0.9812   0.02293   0.00687   0.0169   0.0512   1.0000  43.7450 101.0000
  11.000   1.0429   0.02794   0.01012   0.0195   0.0418   1.0000  44.4582 101.0000
  12.000   1.0871   0.03574   0.01523   0.0227   0.0349   1.0000  45.0219 101.0000
  13.000   1.1182   0.04255   0.02077   0.0247   0.0312   1.0000  45.3602 101.0000
  14.000   1.1193   0.05356   0.02999   0.0242   0.0289   1.0000  45.5781 101.0000
  15.000   1.0846   0.07097   0.04570   0.0175   0.0279   1.0000  45.6730 101.0000
  16.000   0.9617   0.10978   0.08592  -0.0066   0.0288   1.0000  45.5904 101.0000
  17.000   0.7450   0.19884   0.19486  -0.0478   0.0473   1.0000  44.0258 101.0000
  18.000   0.7611   0.21612   0.22785  -0.0609   0.0381   1.0000  44.7541 101.0000
  19.000   0.7934   0.23339   0.24643  -0.0655   0.0351   1.0000  45.0026 101.0000
  20.000   0.8209   0.24979   0.27830  -0.0761   0.0348   1.0000  45.0312 101.0000
