AoA,Cl,Cd,Efficiency
1.0,0.101,0.01128,8.953900709219859
2.0,0.2037,0.01106,18.41772151898734
3.0,0.2998,0.01118,26.815742397137747
4.0,0.3902,0.01197,32.59816207184628
5.0,0.4886,0.01255,38.93227091633466
6.0,0.5963,0.0133,44.83458646616542
7.0,0.7229,0.01425,50.729824561403504
8.0,0.8557,0.0164,52.17682926829268
9.0,0.9148,0.01933,47.325400931195034
10.0,0.9812,0.02293,42.79110335804623
11.0,1.0429,0.02794,37.32641374373657
12.0,1.0871,0.03574,30.416899832120873
13.0,1.1182,0.04255,26.279670975323153
14.0,1.1193,0.05356,20.898058252427184
15.0,1.0846,0.07097,15.282513738199238
16.0,0.9617,0.10978,8.7602477682638
17.0,0.745,0.19884,3.746731040032187
18.0,0.7611,0.21612,3.5216546363131593
19.0,0.7934,0.23339,3.399460131111016
20.0,0.8209,0.24979,3.2863605428559985
