  
       XFOIL         Version 6.99
  
 Calculated polar for: baseline 0.015 0.3025 0.07 -0.5 0.3025 -0.07 0.5
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.250 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.500   0.0510   0.01136   0.00393   0.0021   0.7871   0.8220  16.2597  87.1404
   1.000   0.1010   0.01128   0.00378   0.0048   0.7664   0.8366  17.0575  87.7576
   1.500   0.1515   0.01116   0.00360   0.0071   0.7403   0.8498  18.0199  88.3370
   2.000   0.2037   0.01106   0.00336   0.0085   0.7036   0.8649  19.3216  89.0181
   2.500   0.2515   0.01104   0.00313   0.0114   0.6560   0.8761  20.9491  89.5611
   3.000   0.2998   0.01118   0.00288   0.0136   0.5915   0.8895  23.0714  90.2206
   3.500   0.3460   0.01157   0.00277   0.0158   0.5249   0.9048  25.2057  91.0150
   4.000   0.3902   0.01197   0.00273   0.0186   0.4718   0.9192  26.8987  91.8346
   4.500   0.4389   0.01226   0.00269   0.0201   0.4289   0.9307  28.2704  92.5364
   5.000   0.4886   0.01255   0.00263   0.0210   0.3905   0.9418  29.5164  93.2550
   5.500   0.5387   0.01287   0.00256   0.0216   0.3544   0.9528  30.7035  94.0338
   6.000   0.5963   0.01330   0.00254   0.0207   0.3177   0.9623  31.9416  94.7912
   6.500   0.6589   0.01370   0.00258   0.0186   0.2811   0.9703  33.2131  95.5081
   7.000   0.7229   0.01425   0.00267   0.0160   0.2402   0.9780  34.6987  96.2864
   7.500   0.7911   0.01507   0.00287   0.0121   0.1886   0.9854  36.7050  97.1654
   8.000   0.8557   0.01640   0.00337   0.0085   0.1271   0.9924  39.4028  98.2652
   8.500   0.9090   0.01819   0.00429   0.0066   0.0858   1.0000  41.5463 101.0000
   9.000   0.9148   0.01933   0.00482   0.0138   0.0720   1.0000  42.3642 101.0000
   9.500   0.9446   0.02112   0.00580   0.0160   0.0594   1.0000  43.1715 101.0000
  10.000   0.9812   0.02293   0.00687   0.0169   0.0512   1.0000  43.7450 101.0000
  11.500   1.0699   0.03059   0.01187   0.0207   0.0384   1.0000  44.7348 101.0000
  12.000   1.0871   0.03574   0.01523   0.0227   0.0349   1.0000  45.0220 101.0000
  12.500   1.1058   0.03874   0.01770   0.0239   0.0332   1.0000  45.1738 101.0000
  13.000   1.1182   0.04255   0.02077   0.0247   0.0312   1.0000  45.3602 101.0000
  13.500   1.1230   0.04740   0.02476   0.0249   0.0298   1.0000  45.4979 101.0000
  14.000   1.1193   0.05356   0.02999   0.0242   0.0289   1.0000  45.5780 101.0000
  14.500   1.1072   0.06120   0.03671   0.0219   0.0283   1.0000  45.6370 101.0000
  15.000   1.0846   0.07097   0.04570   0.0175   0.0279   1.0000  45.6730 101.0000
  15.500   1.0480   0.08444   0.05880   0.0097   0.0278   1.0000  45.6808 101.0000
  16.000   0.9617   0.10978   0.08592  -0.0066   0.0288   1.0000  45.5904 101.0000
