  
       XFOIL         Version 6.99
  
 Calculated polar for: pareto_foil_5 0.017999408459580875 0.26448196700
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.250 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.500   0.3306   0.01406   0.00315  -0.0746   0.4057   0.6473  29.0185  80.7607
   1.000   0.3819   0.01433   0.00319  -0.0740   0.3873   0.6571  29.6189  81.0870
   1.500   0.4323   0.01473   0.00337  -0.0729   0.3716   0.6676  30.1337  81.4421
   2.000   0.4846   0.01502   0.00343  -0.0723   0.3580   0.6786  30.5853  81.8140
   2.500   0.5389   0.01551   0.00355  -0.0721   0.3444   0.6884  31.0371  82.1494
   3.000   0.5914   0.01574   0.00372  -0.0715   0.3356   0.7000  31.3349  82.5526
   3.500   0.6454   0.01613   0.00383  -0.0712   0.3259   0.7114  31.6645  82.9477
   4.000   0.7022   0.01674   0.00406  -0.0714   0.3149   0.7223  32.0353  83.3353
   4.500   0.7546   0.01701   0.00424  -0.0709   0.3074   0.7357  32.2973  83.8156
   5.000   0.8078   0.01736   0.00444  -0.0704   0.2992   0.7492  32.5815  84.3066
   5.500   0.8632   0.01800   0.00466  -0.0705   0.2907   0.7636  32.8748  84.8422
   6.000   0.9175   0.01858   0.00501  -0.0703   0.2830   0.7792  33.1484  85.4337
   6.500   0.9692   0.01897   0.00530  -0.0697   0.2756   0.7993  33.4117  86.2177
   7.000   1.0198   0.01936   0.00550  -0.0688   0.2682   0.8245  33.6752  87.2458
   8.000   1.1226   0.02011   0.00568  -0.0679   0.2489   1.0000  34.3782 101.0000
   8.500   1.1633   0.02027   0.00509  -0.0660   0.2353   1.0000  34.8803 101.0000
   9.000   1.2050   0.02076   0.00512  -0.0641   0.2251   1.0000  35.2676 101.0000
   9.500   1.2428   0.02119   0.00499  -0.0616   0.2144   1.0000  35.6819 101.0000
  10.000   1.2814   0.02188   0.00496  -0.0594   0.2022   1.0000  36.1578 101.0000
  10.500   1.3146   0.02244   0.00480  -0.0565   0.1855   1.0000  36.8290 101.0000
  11.000   1.3497   0.02328   0.00481  -0.0541   0.1620   1.0000  37.8200 101.0000
  11.500   1.3773   0.02505   0.00529  -0.0511   0.1097   1.0000  40.2631 101.0000
  12.000   1.3866   0.02885   0.00746  -0.0464   0.0624   1.0000  42.9636 101.0000
  12.500   1.3992   0.03201   0.00947  -0.0421   0.0514   1.0000  43.7329 101.0000
  13.000   1.4034   0.03575   0.01202  -0.0374   0.0456   1.0000  44.1605 101.0000
  13.500   1.4100   0.03941   0.01464  -0.0336   0.0417   1.0000  44.4654 101.0000
  14.000   1.4057   0.04420   0.01825  -0.0299   0.0384   1.0000  44.7314 101.0000
  14.500   1.3796   0.05155   0.02400  -0.0262   0.0353   1.0000  44.9807 101.0000
  15.000   1.3757   0.05761   0.02905  -0.0253   0.0339   1.0000  45.1083 101.0000
  15.500   1.3646   0.06556   0.03587  -0.0263   0.0325   1.0000  45.2374 101.0000
  16.000   1.3489   0.07559   0.04466  -0.0299   0.0315   1.0000  45.3378 101.0000
  16.500   1.3328   0.08641   0.05442  -0.0346   0.0305   1.0000  45.4248 101.0000
  17.000   1.3162   0.09705   0.06436  -0.0392   0.0297   1.0000  45.5012 101.0000
  17.500   1.2997   0.10749   0.07463  -0.0438   0.0290   1.0000  45.5696 101.0000
  18.000   1.2824   0.11814   0.08580  -0.0488   0.0283   1.0000  45.6301 101.0000
  18.500   1.2634   0.12922   0.09829  -0.0544   0.0278   1.0000  45.6833 101.0000
  19.000   1.2431   0.14127   0.11288  -0.0610   0.0273   1.0000  45.7314 101.0000
  19.500   1.2171   0.15532   0.13142  -0.0693   0.0269   1.0000  45.7681 101.0000
